date,沪金,布伦特原油
2019-11-05,341.400000,62.920000
2019-11-06,336.550000,61.740000
2019-11-07,338.350000,62.310000
2019-11-08,332.100000,62.540000
2019-11-11,331.500000,62.250000
2019-11-12,328.300000,61.980000
2019-11-13,331.850000,62.590000
2019-11-14,332.700000,62.410000
2019-11-15,331.900000,63.390000
2019-11-18,332.050000,62.270000
2019-11-19,334.050000,60.780000
2019-11-20,336.500000,62.440000
2019-11-21,336.000000,63.730000
2019-11-22,334.950000,63.500000
2019-11-25,332.650000,62.440000
2019-11-26,332.350000,63.020000
2019-11-27,333.150000,63.070000
2019-11-28,332.050000,63.280000
2019-11-29,333.100000,60.720000
2019-12-02,333.500000,60.870000
2019-12-03,334.200000,61.160000
2019-12-04,340.400000,63.000000
2019-12-05,338.750000,63.210000
2019-12-06,336.400000,64.270000
2019-12-09,333.600000,64.040000
2019-12-10,333.900000,64.130000
2019-12-11,334.120000,63.950000
2019-12-12,336.020000,64.420000
2019-12-13,331.760000,64.920000
2019-12-16,335.320000,65.280000
2019-12-17,335.140000,65.790000
2019-12-18,335.600000,66.120000
2019-12-19,335.180000,66.560000
2019-12-20,336.080000,66.040000
2019-12-23,337.180000,65.580000
2019-12-24,338.680000,67.200000
2019-12-25,340.620000,67.200000
2019-12-26,340.920000,66.780000
2019-12-27,345.300000,66.850000
2019-12-30,345.460000,66.670000
2019-12-31,347.480000,66.020000
2020-01-02,346.240000,66.290000
2020-01-03,351.160000,68.670000
2020-01-06,358.340000,68.530000
2020-01-07,354.940000,68.510000
2020-01-08,360.680000,65.770000
2020-01-09,348.040000,65.320000
2020-01-10,349.300000,65.080000
2020-01-13,349.420000,64.230000
2020-01-14,344.700000,64.410000
2020-01-15,347.540000,64.240000
2020-01-16,347.960000,64.670000
2020-01-17,347.780000,65.150000
2020-01-20,347.940000,65.200000
2020-01-21,351.340000,64.480000
2020-01-22,348.320000,62.660000
2020-01-23,350.720000,62.050000
2020-01-24,350.720000,60.680000
2020-01-27,350.720000,58.060000
2020-01-28,350.720000,59.300000
2020-01-29,350.720000,58.670000
2020-01-30,350.720000,58.090000
2020-01-31,350.720000,56.650000
2020-02-03,359.300000,54.190000
2020-02-04,356.200000,53.790000
2020-02-05,354.220000,55.560000
2020-02-06,352.400000,55.050000
2020-02-07,354.300000,54.470000
2020-02-10,355.560000,53.350000
2020-02-11,354.600000,54.250000
2020-02-12,354.000000,56.340000
2020-02-13,356.520000,56.460000
2020-02-14,356.780000,57.230000
2020-02-17,357.900000,57.530000
2020-02-18,359.680000,57.660000
2020-02-19,364.060000,59.330000
2020-02-20,365.060000,59.130000
2020-02-21,371.900000,58.420000
2020-02-24,379.700000,55.530000
2020-02-25,371.740000,54.160000
2020-02-26,374.260000,52.780000
2020-02-27,374.300000,50.950000
2020-02-28,369.980000,49.920000
2020-03-02,361.240000,53.060000
2020-03-03,360.260000,51.600000
2020-03-04,368.540000,51.500000
2020-03-05,368.620000,50.160000
2020-03-06,376.080000,45.440000
2020-03-09,373.420000,33.300000
2020-03-10,368.640000,37.780000
2020-03-11,371.220000,35.830000
2020-03-12,367.260000,34.520000
2020-03-13,356.400000,36.320000
2020-03-16,347.180000,29.720000
2020-03-17,330.880000,28.800000
2020-03-18,339.080000,28.200000
2020-03-19,336.620000,28.080000
2020-03-20,339.780000,29.350000
2020-03-23,339.620000,29.790000
2020-03-24,358.460000,30.210000
2020-03-25,364.400000,30.050000
2020-03-26,363.340000,29.310000
2020-03-27,367.580000,28.250000
2020-03-30,364.700000,26.450000
2020-03-31,364.900000,25.820000
2020-04-01,358.620000,25.560000
2020-04-02,360.700000,29.650000
2020-04-03,363.480000,34.590000
2020-04-06,363.480000,33.270000
2020-04-07,373.880000,32.360000
2020-04-08,370.200000,33.560000
2020-04-09,371.460000,31.610000
2020-04-10,373.740000,31.610000
2020-04-13,373.260000,31.830000
2020-04-14,377.600000,31.720000
2020-04-15,376.320000,27.900000
2020-04-16,379.380000,28.310000
2020-04-17,372.180000,28.260000
2020-04-20,370.800000,26.000000
2020-04-21,374.420000,19.340000
2020-04-22,373.180000,20.550000
2020-04-23,379.800000,24.950000
2020-04-24,382.780000,25.070000
2020-04-27,380.140000,22.950000
2020-04-28,377.100000,23.160000
2020-04-29,378.740000,24.400000
2020-04-30,380.280000,26.610000
2020-05-01,380.280000,26.600000
2020-05-04,380.280000,27.960000
2020-05-05,380.280000,31.980000
2020-05-06,380.080000,29.830000
2020-05-07,378.180000,29.340000
2020-05-08,383.380000,30.850000
2020-05-11,381.740000,30.130000
2020-05-12,380.880000,29.400000
2020-05-13,381.860000,29.440000
2020-05-14,384.460000,31.450000
2020-05-15,390.160000,32.700000
2020-05-18,401.160000,35.440000
2020-05-19,394.500000,34.550000
2020-05-20,398.720000,35.770000
2020-05-21,395.060000,35.920000
2020-05-22,394.380000,35.350000
2020-05-25,393.540000,36.130000
2020-05-26,395.340000,36.590000
2020-05-27,391.200000,34.950000
2020-05-28,394.180000,36.110000
2020-05-29,394.420000,37.610000
2020-06-01,398.000000,38.530000
2020-06-02,396.960000,39.540000
2020-06-03,393.040000,39.420000
2020-06-04,389.740000,39.870000
2020-06-05,390.180000,41.900000
2020-06-08,386.280000,40.790000
2020-06-09,386.300000,40.820000
2020-06-10,390.400000,41.360000
2020-06-11,393.700000,38.320000
2020-06-12,393.620000,38.800000
2020-06-15,392.540000,39.830000
2020-06-16,392.400000,40.660000
2020-06-17,392.860000,40.530000
2020-06-18,392.180000,41.450000
2020-06-19,392.940000,41.900000
2020-06-22,397.500000,42.860000
2020-06-23,396.960000,42.440000
2020-06-24,400.060000,40.500000
2020-06-25,400.060000,41.390000
2020-06-26,400.060000,40.610000
2020-06-29,400.140000,41.850000
2020-06-30,400.720000,41.600000
2020-07-01,403.100000,41.910000
2020-07-02,399.060000,42.920000
2020-07-03,400.540000,42.780000
2020-07-06,399.660000,43.060000
2020-07-07,400.320000,42.970000
2020-07-08,402.360000,43.320000
2020-07-09,404.940000,42.330000
2020-07-10,401.880000,43.170000
2020-07-13,403.740000,42.170000
2020-07-14,403.020000,43.050000
2020-07-15,403.620000,43.630000
2020-07-16,402.120000,43.400000
2020-07-17,399.760000,43.100000
2020-07-20,401.780000,43.170000
2020-07-21,404.540000,43.950000
2020-07-22,414.220000,44.280000
2020-07-23,416.520000,43.320000
2020-07-24,420.400000,43.630000
2020-07-27,430.060000,43.950000
2020-07-28,429.940000,43.610000
2020-07-29,431.380000,44.100000
2020-07-30,428.940000,43.600000
2020-07-31,432.860000,43.660000
2020-08-03,431.400000,43.850000
2020-08-04,431.960000,44.340000
2020-08-05,444.060000,45.330000
2020-08-06,447.560000,45.080000
2020-08-07,449.720000,44.600000
2020-08-10,446.380000,44.920000
2020-08-11,436.940000,44.520000
2020-08-12,417.160000,45.320000
2020-08-13,416.740000,45.010000
2020-08-14,420.300000,44.910000
2020-08-17,424.440000,45.270000
2020-08-18,433.940000,45.000000
2020-08-19,429.160000,45.150000
2020-08-20,418.280000,44.850000
2020-08-21,419.480000,44.180000
2020-08-24,415.540000,45.010000
2020-08-25,416.500000,46.390000
2020-08-26,415.660000,46.290000
2020-08-27,420.540000,45.630000
2020-08-28,420.400000,45.790000
2020-08-31,422.680000,45.570000
2020-09-01,426.980000,45.770000
2020-09-02,422.600000,44.400000
2020-09-03,415.300000,43.970000
2020-09-04,416.540000,42.350000
2020-09-07,416.360000,42.050000
2020-09-08,416.560000,39.700000
2020-09-09,416.500000,40.590000
2020-09-10,419.460000,39.710000
2020-09-11,418.340000,39.780000
2020-09-14,418.440000,39.680000
2020-09-15,419.800000,40.660000
2020-09-16,418.640000,42.300000
2020-09-17,415.620000,43.260000
2020-09-18,416.920000,43.520000
2020-09-21,417.040000,41.730000
2020-09-22,407.580000,41.750000
2020-09-23,400.900000,41.980000
2020-09-24,396.580000,42.260000
2020-09-25,401.060000,42.230000
2020-09-28,400.140000,42.870000
2020-09-29,405.900000,41.310000
2020-09-30,406.100000,42.120000
2020-10-01,406.100000,40.710000
2020-10-02,406.100000,38.900000
2020-10-05,406.100000,41.530000
2020-10-06,406.100000,41.860000
2020-10-07,406.100000,42.150000
2020-10-08,406.100000,43.450000
2020-10-09,405.360000,42.720000
2020-10-12,410.020000,41.740000
2020-10-13,408.540000,42.420000
2020-10-14,404.040000,43.430000
2020-10-15,403.620000,43.000000
2020-10-16,404.980000,42.790000
2020-10-19,404.900000,42.460000
2020-10-20,403.580000,42.780000
2020-10-21,404.660000,41.710000
2020-10-22,404.860000,42.390000
2020-10-23,403.580000,41.850000
2020-10-26,401.560000,40.790000
2020-10-27,405.300000,41.090000
2020-10-28,405.360000,39.560000
2020-10-29,399.780000,38.110000
2020-10-30,397.100000,37.840000
2020-11-02,400.680000,39.250000
2020-11-03,402.600000,40.070000
2020-11-04,404.280000,41.200000
2020-11-05,404.220000,40.800000
2020-11-06,408.300000,39.570000
2020-11-09,407.420000,42.020000
2020-11-10,396.540000,44.030000
2020-11-11,395.640000,43.700000
2020-11-12,394.980000,43.260000
2020-11-13,396.880000,42.630000
2020-11-16,396.640000,43.890000
2020-11-17,396.180000,43.780000
2020-11-18,393.640000,44.120000
2020-11-19,392.000000,44.110000
2020-11-20,392.180000,45.140000
2020-11-23,392.800000,45.510000
2020-11-24,383.320000,47.840000
2020-11-25,379.240000,48.730000
2020-11-26,380.220000,47.750000
2020-11-27,381.140000,48.270000
2020-11-30,371.340000,47.660000
2020-12-01,374.200000,47.230000
2020-12-02,379.640000,47.960000
2020-12-03,383.700000,48.800000
2020-12-04,384.460000,48.950000
2020-12-07,383.380000,48.610000
2020-12-08,389.180000,48.810000
2020-12-09,387.000000,49.010000
2020-12-10,383.260000,50.400000
2020-12-11,382.780000,49.910000
2020-12-14,382.820000,50.310000
2020-12-15,385.660000,50.720000
2020-12-16,388.400000,51.090000
2020-12-17,390.500000,51.480000
2020-12-18,393.580000,52.300000
2020-12-21,398.360000,50.800000
2020-12-22,392.760000,49.800000
2020-12-23,391.440000,51.150000
2020-12-24,393.040000,51.350000
2020-12-25,395.000000,51.350000
2020-12-28,395.780000,50.890000
2020-12-29,393.860000,51.240000
2020-12-30,393.700000,51.460000
2020-12-31,394.980000,51.710000
2021-01-04,400.040000,50.670000
2021-01-05,402.320000,53.570000
2021-01-06,402.880000,54.150000
2021-01-07,399.060000,54.520000
2021-01-08,396.060000,56.360000
2021-01-11,385.000000,55.620000
2021-01-12,387.420000,56.780000
2021-01-13,387.540000,55.910000
2021-01-14,385.300000,56.460000
2021-01-15,387.900000,55.000000
2021-01-18,386.820000,54.790000
2021-01-19,387.720000,55.930000
2021-01-20,388.820000,55.690000
2021-01-21,392.720000,56.170000
2021-01-22,390.900000,55.210000
2021-01-25,389.000000,55.910000
2021-01-26,390.140000,55.870000
2021-01-27,387.940000,55.300000
2021-01-28,386.300000,55.030000
2021-01-29,388.340000,55.100000
2021-01-31,388.340000,55.100000
2021-02-01,392.640000,56.210000
2021-02-02,389.500000,57.820000
2021-02-03,385.100000,58.670000
2021-02-04,382.260000,59.110000
2021-02-05,377.860000,59.620000
2021-02-07,377.860000,59.620000
2021-02-08,381.000000,60.660000
2021-02-09,385.600000,61.290000
2021-02-10,385.660000,61.100000
2021-02-11,385.660000,60.860000
2021-02-12,385.660000,62.710000
2021-02-15,385.660000,63.330000
2021-02-16,385.660000,63.560000
2021-02-17,385.660000,64.890000
2021-02-18,374.180000,63.530000
2021-02-19,372.460000,62.840000
2021-02-20,372.460000,62.840000
2021-02-22,376.660000,64.940000
