日期,index_net
2017-08-16,114.255100
2017-08-17,114.162100
2017-08-18,114.010000
2017-08-21,113.883100
2017-08-22,113.861300
2017-08-23,113.880700
2017-08-24,113.786500
2017-08-25,113.720400
2017-08-28,113.584100
2017-08-29,113.656800
2017-08-30,113.665500
2017-08-31,113.704700
2017-09-01,113.697800
2017-09-04,113.636000
2017-09-05,113.550900
2017-09-06,113.577900
2017-09-07,113.738600
2017-09-08,113.825200
2017-09-11,113.775500
2017-09-12,113.767300
2017-09-13,113.682000
2017-09-14,113.793800
2017-09-15,113.708000
2017-09-18,113.617600
2017-09-19,113.631800
2017-09-20,113.592900
2017-09-21,113.528400
2017-09-22,113.670400
2017-09-25,113.827000
2017-09-26,113.807900
2017-09-27,113.762400
2017-09-28,113.805700
2017-09-29,113.828100
2017-09-30,113.814100
2017-10-09,113.686400
2017-10-10,113.659100
2017-10-11,113.659800
2017-10-12,113.528200
2017-10-13,113.562700
2017-10-16,113.350700
2017-10-17,113.173100
2017-10-18,113.190800
2017-10-19,113.292300
2017-10-20,113.311300
2017-10-23,113.303400
2017-10-24,113.295500
2017-10-25,113.091400
2017-10-26,113.082200
2017-10-27,112.921500
2017-10-30,112.447300
2017-10-31,112.494100
2017-11-01,112.708000
2017-11-02,112.656500
2017-11-03,112.620500
2017-11-06,112.641500
2017-11-07,112.546900
2017-11-08,112.543700
2017-11-09,112.552900
2017-11-10,112.479200
2017-11-13,112.276600
2017-11-14,112.225500
2017-11-15,112.292400
2017-11-16,112.432600
2017-11-17,112.496900
2017-11-20,112.493900
2017-11-21,112.441400
2017-11-22,112.261000
2017-11-23,112.275700
2017-11-24,112.417800
2017-11-27,112.418600
2017-11-28,112.373000
2017-11-29,112.495800
2017-11-30,112.587900
2017-12-01,112.634000
2017-12-04,112.664300
2017-12-05,112.690600
2017-12-06,112.719400
2017-12-07,112.664200
2017-12-08,112.586500
2017-12-11,112.413500
2017-12-12,112.349500
2017-12-13,112.336400
2017-12-14,112.380500
2017-12-15,112.479800
2017-12-18,112.528500
2017-12-19,112.509800
2017-12-20,112.486100
2017-12-21,112.480000
